Stock1,Stock2
1.1,0.72
-2.31,-2.62
0.16,-2.51
-6.61,-6.07
-4.2,-3.11
2.94,-2.21
0.28,-5.5
-9.68,-6.28
-3.84,-3.83
-10.19,-1.14
0.47,-2.28
2.09,2.47
-1.71,-3.12
10,4.73
-0.73,-0.44
-2.84,-1.98
6.02,3.78
-4.46,-2.32
1.55,-3.55
4.21,2.08
-6.26,-5.63
0.66,2.2
-4.81,-3.27
-0.46,3.41
-2.21,-2.28
-0.39,0.1
-4.22,-3.72
6.72,5.44
4.32,2.41
-0.35,0.61
-0.41,0.08
0.13,-1.35
5.1,1.6
4.48,5.7
-1.39,-1.11
5.57,8.07
1.98,1.13
-2.39,-0.81
-2.55,-0.16
-2.37,-1.42
2.78,3.2
0.62,1.41
10.47,8.52
0.91,-1.31
-5.12,-3.31
-3.62,-4.44
-7.53,-3.41
-3.2,-0.38
1.68,3.79
-4.72,-3.18
-1.95,-0.62
1.88,4.58
-11.72,-10.21
-6.61,-4.05
-1.1,-0.67
-4.07,1.17
2.64,2.73
2.35,1.34
0.19,-0.08
5.93,6.96
3.9,5.04
-0.27,-4.55
-1.5,-2.34
-4.5,-3.57
1.28,2.4
2.78,3.08
-4.09,0.76
-5.34,6.1
-3.08,-0.83
2.58,0.27
0.32,-1.74
-3.18,-0.25
2.83,3.51
-0.06,0.54
2.34,3.37
-5.06,-5.27
2.95,1.57
-2.69,-2.3
3.7,5.05
-2.37,0.28
0.15,0.91
1.5,2.77
5.46,0.25
-4.91,-2.47
3.93,0.73
-1.19,-1.86
1.92,-3.71
-5.23,-2.72
3.25,2.51
6.3,5.34
7.63,4.72
1.8,1.07
-4.84,-4.56
-3.22,-6.49
-0.68,-2.47
-1.73,-2.19
1.98,1.5
4.76,3.87
-4.82,-0.32
-6.4,-3.62
5.46,4.72
-5.45,-6.01
-1.12,-0.33
-1.33,-0.19
2.83,3.58
-4.59,-5.03
-0.86,-0.98
-2.59,1.24
-3.85,-2.11
3.57,6.48
3.91,3.54
-4.02,-3.3
6.39,-10.7
6.12,4.54
6.65,2.03
6.55,3.82
-6.35,1.54
2.15,4.63
-1.43,-2.53
4.24,3.64
-2.23,-2.83
7.11,3.45
8.53,6.02
1.98,3.34
5.31,3.84
0.36,-2.48
-10.48,-7.05
-2.41,-0.42
1.49,2.17
-2.3,-2.27
0.84,-0.06
1.35,3.83
4.83,-0.24
0.21,0.47
5.96,4.07
-0.49,0.87
1.38,5.46
0.96,-3.72
-0.19,1.95
-2.54,-2.1
1.39,0.35
5.47,2.93
-4.02,-2.98
0.85,0.66
10.91,6.66
2.59,3.64
-2.31,2.26
1,-1.33
0.55,2.58
-0.87,-0.91
2.8,2.9
-6.09,0.05
2.45,6.9
4.9,2.33
0.83,1.95
-4.09,-2.24
0.85,0.53
-2.37,1.19
-8.28,-2.12
3.01,1.07
-1.15,-0.54
2.93,3.57
-2.65,-2.84
1.89,0.67
1.91,-1.91
2.28,2.06
0.03,-0.16
4.03,4.68
-6.39,-4.28
1.82,2.01
-3.33,0.38
5.84,5.82
-0.3,1.21
-5.82,-2.95
4.6,2.96
1.58,-3.1
2.61,6.01
-1.8,-4.41
7,4
-1.56,-2.41
2.58,4.21
7.19,6.07
-0.54,3.87
3.71,5.11
0.71,1.87
-4.88,-4.16
0.39,1.69
2.23,2.46
7.68,3.44
-6.89,-6.05
-0.1,-1.39
5.06,3.48
0.09,-0.61
1.18,0.21
-2.5,-0.01
2.05,0.07
-0.35,0.67
-4.59,-1.92
-2.64,-2.68
0.03,1.24
1.99,1.27
-3.44,-0.97
1.64,11.14
1.2,0.6
0.35,2.29
-1.05,-6.82
-2.57,-1.1
0.61,0.06
4.58,6.24
-3.52,-4.12
-3.74,4.82
1.71,7.5
-3.8,-1.76
1.42,1.65
-1.18,-2.21
-0.9,-1.54
5.88,3.78
-2.08,1.89
-0.03,-1.64
6.73,5.76
-3.67,-3.6
0.48,-1.44
-1.5,5.26
-0.53,-1.09
-1.73,-3.8
0.98,-2.6
-0.12,1
-0.45,1.51
4.43,3.91
0.07,-4.07
-1.83,-2.77
-4.08,-1.22
-0.28,-3.6
0.5,-1.96
0.39,-2.62
-1.31,0.63
1.24,2.38
3.26,1.7
-1.09,-2.25
-1.64,-0.89
-0.19,-0.78
0.78,-1.11
-4.44,-8.73
-1.19,-0.42
-0.16,5.27
-0.43,5.16
-2.52,0.65
-2.07,-0.23
-2.91,0.23
1.28,4.03
-1.87,-0.48
-0.29,-3.81
-1.26,-2.01
-3.85,-4.43
4.3,5.04
0.93,0.84
-2.37,-3.95
1.81,1.42
-0.45,-1.65
2.55,3.04
2.5,4.3
3.12,0.62
-0.87,0.12
-3.42,-1.12
0.14,-1.11
-1.97,4.4
1.19,-2.29
0.85,3.59
3.75,3.77
-2.45,-2.7
1.35,3.48
1.67,1.98
-0.25,1.57
2.44,-1.5
2.35,5.28
-1.01,-1.02
-2.85,0.07
3.18,2.14
0.26,-1.62
0.52,-5.15
-4.01,-2.7
3.86,1.39
3.95,2.21
1.89,0.62
0.88,2.64
0.94,0.94
-3.75,-1.89
1.26,-0.67
0.23,1.41
3.78,1.88
2.97,3.31
0.51,4.97
1.73,2.46
-1.97,-3.86
-0.32,-0.11
2.67,1.49
1.01,9.1
0.96,0.64
1.02,2.73
-0.45,0.51
1.5,4.12
1.97,4.15
0.46,-1.52
-1.64,-2.22
-1.27,1.46
-2.28,-4.71
3.61,2.24
-3.83,0.59
-0.78,-0.42
-0.75,-2.47
-5.58,-3.42
4.66,3
-0.3,0.17
-3.8,-3.77
2.36,1.36
4.25,0.42
1.1,1.03
-5.92,-4.69
2.07,1.78
3.42,-0.48
-1.53,-1
2.14,1.6
-1.35,-2.23
2.68,1.09
-2.17,0.87
-5.8,-5.56
-0.33,1.52
0.86,2.26
-7.99,-6.83
0.77,0.46
5.02,4.3
3.25,1.23
-6.54,-0.42
3.2,2.46
3.92,3.16
3.95,1.84
0.12,0.82
-1.21,-1.39
2.69,1.68
-1.08,-0.11
3.07,3.26
2.88,1.07
-1.82,-1.07
-6.49,-5.66
1.51,6.08
-1.8,-1.53
0.04,-2.21
-0.37,0.46
7.79,1.1
1.13,-0.53
1.7,0.92
3.39,0.8
4.49,4.36
-1.88,-2.01
-0.78,2.64
1.44,2.02
1.75,0.34
-4.01,-3.64
-2.54,-3.42
-1.86,0.7
2.41,-2.66
0.77,0.12
-3.29,0.18
-3.45,-3.98
6.11,5.04
-3.1,13.56
-2.56,-4.74
-3.88,-2.57
-2.54,-5.82
2.05,-1.34
1.74,10.61
4.4,1.04
2.26,-0.37
-2.42,1.2
-7.79,-3.89
-4.45,-4.08
1.23,2.91
0.24,-0.14
-5.35,-3.09
-2.7,3.2
2.46,1
-1.3,2.98
1.52,4.19
-0.97,3.47
-5.08,-1.7
-2.11,-1.61
-3.5,-0.77
0.72,2.01
0.68,2.09
1.72,0.08
4.36,0.62
-2.13,-0.79
2.64,2.98
-1.55,1.08
1.46,-0.27
2.41,-4.83
1,3.25
1.16,0.49
1.52,0.35
-6.52,-3.54
-4.14,-3.21
-3.95,2.33
-3.79,-5.8
-2.86,-1.09
-0.2,-0.79
0.03,2.26
-5.23,-2.72
-2.62,-4.05
0.91,-1.95
-4.63,-2.61
3.94,4.46
-3.11,-2.09
0.86,-0.79
-4.29,2.43
-5.16,-4.08
2.26,0.77
